airport,season,arr_flights,arr_delay,weather_adjusted,weather_share_adjusted,iata_code,name,type,municipality,latitude_deg,longitude_deg
CLD,Fall,182.0,1160.0,175.042,0.15089827586206897,CLD,McClellan-Palomar Airport,medium_airport,Carlsbad,33.1283,-117.279999
CLD,Spring,184.0,950.0,30.228,0.03181894736842105,CLD,McClellan-Palomar Airport,medium_airport,Carlsbad,33.1283,-117.279999
CLD,Summer,182.0,1710.0,241.77,0.1413859649122807,CLD,McClellan-Palomar Airport,medium_airport,Carlsbad,33.1283,-117.279999
CLD,Winter,32.0,54.0,0.0,0.0,CLD,McClellan-Palomar Airport,medium_airport,Carlsbad,33.1283,-117.279999
CLE,Fall,53527.0,521583.0,54669.154,0.10481391072945245,CLE,Cleveland Hopkins International Airport,large_airport,Cleveland,41.411701,-81.8498
CLE,Spring,50962.0,693685.0,81684.626,0.1177546379120206,CLE,Cleveland Hopkins International Airport,large_airport,Cleveland,41.411701,-81.8498
CLE,Summer,54927.0,1100647.0,147862.812,0.13434172082420612,CLE,Cleveland Hopkins International Airport,large_airport,Cleveland,41.411701,-81.8498
CLE,Winter,43619.0,552522.0,75081.848,0.13588933653320592,CLE,Cleveland Hopkins International Airport,large_airport,Cleveland,41.411701,-81.8498
CLL,Fall,1851.0,15016.0,3121.612,0.2078857218966436,CLL,Easterwood Field,medium_airport,College Station,30.5886,-96.3638
CLL,Spring,1642.0,22308.0,7060.8279999999995,0.31651551013089474,CLL,Easterwood Field,medium_airport,College Station,30.5886,-96.3638
CLL,Summer,1839.0,27261.0,4855.02,0.178093980411577,CLL,Easterwood Field,medium_airport,College Station,30.5886,-96.3638
CLL,Winter,1379.0,11960.0,2795.048,0.23369966555183944,CLL,Easterwood Field,medium_airport,College Station,30.5886,-96.3638
CLT,Fall,292885.0,3080459.0,288241.224,0.09357086849719473,CLT,Charlotte Douglas International Airport,large_airport,Charlotte,35.2140007019043,-80.94309997558594
CLT,Spring,294690.0,4099967.0,485354.642,0.11838013379132076,CLT,Charlotte Douglas International Airport,large_airport,Charlotte,35.2140007019043,-80.94309997558594
CLT,Summer,305186.0,6226532.0,887070.332,0.14246619659226034,CLT,Charlotte Douglas International Airport,large_airport,Charlotte,35.2140007019043,-80.94309997558594
CLT,Winter,249186.0,3377944.0,431581.402,0.12776452244323766,CLT,Charlotte Douglas International Airport,large_airport,Charlotte,35.2140007019043,-80.94309997558594
CMH,Fall,53618.0,502234.0,60054.94,0.11957561614705496,CMH,John Glenn Columbus International Airport,large_airport,Columbus,39.998001,-82.891899
CMH,Spring,51001.0,632105.0,76176.36200000001,0.12051219654962389,CMH,John Glenn Columbus International Airport,large_airport,Columbus,39.998001,-82.891899
CMH,Summer,54089.0,989974.0,150710.788,0.15223711733843515,CMH,John Glenn Columbus International Airport,large_airport,Columbus,39.998001,-82.891899
CMH,Winter,43240.0,490469.0,62857.28,0.12815749823128475,CMH,John Glenn Columbus International Airport,large_airport,Columbus,39.998001,-82.891899
CMI,Fall,2113.0,16583.0,3888.818,0.23450630163420372,CMI,University of Illinois Willard Airport,medium_airport,Savoy,40.039819,-88.276249
CMI,Spring,2004.0,19803.0,4508.112,0.22764793213149523,CMI,University of Illinois Willard Airport,medium_airport,Savoy,40.039819,-88.276249
CMI,Summer,2077.0,32594.0,5584.698,0.1713412898079401,CMI,University of Illinois Willard Airport,medium_airport,Savoy,40.039819,-88.276249
CMI,Winter,1715.0,21099.0,8137.273999999999,0.3856710744585051,CMI,University of Illinois Willard Airport,medium_airport,Savoy,40.039819,-88.276249
CMX,Fall,926.0,15436.0,4235.388,0.2743837781808759,CMX,Houghton County Memorial Airport,medium_airport,Hancock,47.168399810791016,-88.48909759521484
CMX,Spring,876.0,21162.0,5925.204,0.27999262829600224,CMX,Houghton County Memorial Airport,medium_airport,Hancock,47.168399810791016,-88.48909759521484
CMX,Summer,956.0,26046.0,4227.76,0.162318974122706,CMX,Houghton County Memorial Airport,medium_airport,Hancock,47.168399810791016,-88.48909759521484
CMX,Winter,833.0,18184.0,5438.888,0.2991029476462824,CMX,Houghton County Memorial Airport,medium_airport,Hancock,47.168399810791016,-88.48909759521484
CNY,Fall,634.0,3603.0,182.564,0.05066999722453511,CNY,Canyonlands Regional Airport,medium_airport,Moab,38.755001,-109.754997
CNY,Spring,525.0,3543.0,1325.0,0.37397685577194467,CNY,Canyonlands Regional Airport,medium_airport,Moab,38.755001,-109.754997
