airport,arr_flights,arr_del15,arr_delay,delay_rate,avg_delay_per_flight,avg_delay_if_delayed,iata_code,name,type,municipality,latitude_deg,longitude_deg,dominant_cause
ONT,119422.0,24928.0,1423579.0,0.20873875835273234,11.920575773308101,57.10762997432606,ONT,Ontario International Airport,large_airport,Ontario,34.056,-117.600998,late_aircraft_delay
ORD,1522416.0,298956.0,24640510.0,0.1963694548664754,16.18513599436685,82.42186141104376,ORD,Chicago O'Hare International Airport,large_airport,Chicago,41.9786,-87.9048,late_aircraft_delay
ORF,109384.0,23560.0,1567372.0,0.21538799093103195,14.329079207196665,66.52682512733446,ORF,Norfolk International Airport,large_airport,Norfolk,36.895341,-76.201,late_aircraft_delay
ORH,6361.0,1265.0,88449.0,0.19886810249960699,13.904889168369753,69.92015810276679,ORH,Worcester Regional Airport,medium_airport,Worcester,42.2673,-71.875702,carrier_delay
OTH,1834.0,356.0,19210.0,0.1941112322791712,10.474372955288986,53.96067415730337,OTH,Southwest Oregon Regional Airport,medium_airport,North Bend,43.41709899902344,-124.24600219726562,carrier_delay
OTZ,3418.0,487.0,24760.0,0.14248098303101228,7.244002340550029,50.841889117043124,OTZ,Ralph Wien Memorial Airport,medium_airport,Kotzebue,66.88469696,-162.598999,late_aircraft_delay
OWB,232.0,56.0,3400.0,0.2413793103448276,14.655172413793103,60.714285714285715,OWB,Owensboro Daviess County Airport,medium_airport,Owensboro,37.74010086,-87.16680145,carrier_delay
PAE,16460.0,3324.0,182595.0,0.2019441069258809,11.09325637910085,54.93231046931408,PAE,Seattle Paine Field International Airport,medium_airport,Everett,47.9063,-122.281998,late_aircraft_delay
PAH,1492.0,218.0,19472.0,0.14611260053619302,13.05093833780161,89.3211009174312,PAH,Barkley Regional Airport,medium_airport,Paducah,37.06079864501953,-88.7738037109375,carrier_delay
PBG,2877.0,516.0,48784.0,0.17935349322210636,16.956551963851233,94.54263565891473,PBG,Plattsburgh International Airport,medium_airport,Plattsburgh,44.650902,-73.468102,carrier_delay
PBI,131280.0,33764.0,2351328.0,0.25719073735527115,17.910786106032905,69.64009003672551,PBI,Palm Beach International Airport,large_airport,West Palm Beach,26.683201,-80.095596,carrier_delay
PDX,323361.0,57356.0,3264471.0,0.17737451331484008,10.095438225388962,56.9159460213404,PDX,Portland International Airport,large_airport,Portland,45.588699,-122.598,late_aircraft_delay
PGD,31324.0,9575.0,756693.0,0.3056761588558294,24.156972289618185,79.02798955613576,PGD,Punta Gorda Airport,medium_airport,Punta Gorda,26.9202,-81.990501,late_aircraft_delay
PGV,4533.0,598.0,43888.0,0.13192146481358924,9.681888374145158,73.3913043478261,PGV,Pitt-Greenville Airport,medium_airport,Greenville,35.635535,-77.384262,late_aircraft_delay
PHF,8027.0,1028.0,71710.0,0.12806777127195715,8.933599103027284,69.7568093385214,PHF,Newport News Williamsburg International Airport,medium_airport,Newport News,37.131901,-76.492996,late_aircraft_delay
PHL,552284.0,110778.0,9198139.0,0.20058158483678687,16.654726553729603,83.03218148007727,PHL,Philadelphia International Airport,large_airport,Philadelphia,39.871899,-75.241096,late_aircraft_delay
PHX,880043.0,164949.0,11696550.0,0.18743288680212217,13.290884649954604,70.91009948529546,PHX,Phoenix Sky Harbor International Airport,large_airport,Phoenix,33.435302,-112.005905,late_aircraft_delay
PIA,21573.0,4723.0,343419.0,0.2189310712464655,15.918926435822556,72.71204742748253,PIA,General Wayne A. Downing Peoria International Airport,medium_airport,Peoria,40.663841,-89.692631,late_aircraft_delay
PIB,3109.0,541.0,52545.0,0.17401093599228049,16.90093277581216,97.12569316081331,PIB,Hattiesburg Laurel Regional Airport,medium_airport,Moselle,31.4671,-89.337097,carrier_delay
PIE,40101.0,11408.0,927632.0,0.28448168374853494,23.132390713448544,81.31416549789621,PIE,St. Petersburg Clearwater International Airport,large_airport,Pinellas Park,27.9102,-82.687401,late_aircraft_delay
PIH,3000.0,229.0,22289.0,0.07633333333333334,7.429666666666667,97.33187772925764,PIH,Pocatello Regional Airport,medium_airport,Pocatello,42.9098014831543,-112.59600067138672,carrier_delay
PIR,850.0,146.0,12746.0,0.17176470588235293,14.99529411764706,87.3013698630137,PIR,Pierre Regional Airport,medium_airport,Pierre,44.38270187,-100.2860031,carrier_delay
PIT,206709.0,41972.0,2768497.0,0.20304873034072052,13.393209777997088,65.96056895072905,PIT,Pittsburgh International Airport,large_airport,Pittsburgh,40.491501,-80.232903,late_aircraft_delay
PLN,4107.0,710.0,64464.0,0.17287557828098368,15.696128560993426,90.7943661971831,PLN,Pellston Regional Airport of Emmet County Airport,medium_airport,Pellston,45.57089996,-84.79669952,carrier_delay
PNS,66367.0,14324.0,953280.0,0.21583015655370894,14.36376512423343,66.55124266964535,PNS,Pensacola International Airport,large_airport,Pensacola,30.472718,-87.186639,late_aircraft_delay
PQI,2717.0,796.0,72786.0,0.2929701877070298,26.789105631210894,91.43969849246231,PQI,Presque Isle International Airport,medium_airport,Presque Isle,46.688999,-68.0448,late_aircraft_delay
PRC,3748.0,728.0,83166.0,0.19423692636072573,22.189434364994664,114.23901098901099,PRC,Prescott Regional Airport - Ernest A. Love Field,medium_airport,Prescott,34.653502,-112.419883,late_aircraft_delay
