airport,year,arr_flights,weather_adjusted,weather_ct_adjusted,weather_probability,weather_severity,weather_score
EWR,2005,155609.0,1116365.54,17061.02924,0.10964037581373828,65.43365727213302,0.8546131719034433
EWR,2006,158256.0,1220365.432,17712.54336,0.11192336063087656,68.8983737228802,1.1013510749719742
EWR,2007,154106.0,1382035.402,18756.32296,0.12171053015456894,73.68370681968679,1.5733058441745678
EWR,2008,138491.0,1166828.34,15675.48574,0.11318775761601838,74.43650291630453,1.4485926145342165
EWR,2009,119128.0,1011903.6540000001,13353.388780000001,0.112092780706467,75.77879073779204,1.505044645669538
EWR,2010,114191.0,549199.166,8931.17026,0.07821255843280119,61.492408050901936,0.003885374586326429
EWR,2011,111862.0,586376.808,9510.12498,0.08501658275375017,61.658160038187,0.14806149167776672
EWR,2012,120534.0,523074.80600000004,8791.800860000001,0.07294042228748736,59.49575227298767,-0.21653459690338925
EWR,2013,120675.0,507731.32800000004,7665.68804,0.06352341446032733,66.2342799955632,-0.01064337854361896
EWR,2014,110221.0,443509.72400000005,6579.2044000000005,0.05969102439643988,67.4108443872028,-0.017959267811352916
EWR,2015,111486.0,350745.134,5367.30916,0.0481433467879375,65.34841268580847,-0.3662887943178549
EWR,2016,115945.0,428511.174,6557.59036,0.05655776756220622,65.34582834173862,-0.2000661375571712
EWR,2017,116016.0,771682.284,10501.45916,0.0905173351951455,73.48333905247506,0.9448839020140678
EWR,2018,162505.0,1123208.482,15440.26318,0.09501408067444078,72.7454233717278,0.9908588719630901
EWR,2019,158804.0,1136094.594,14063.3821,0.0885581099972293,80.78388156715161,1.3309345232005765
EWR,2020,78010.0,151607.496,2687.4946200000004,0.034450642481733115,56.41220446424558,-1.156987930290394
EWR,2021,102450.0,301271.136,4775.97418,0.0466176103465105,63.080562131514704,-0.5284133008250993
EWR,2022,147492.0,672728.912,10394.91056,0.07047779242263988,64.71714288612407,0.03858505253159859
EWR,2023,151036.0,507579.13800000004,7342.2628,0.04861266717868588,69.13115912985299,-0.13690644936536148
EWR,2024,142931.0,570435.84,7252.65406,0.05074234462782741,78.65201280536466,0.4591824196992998
EWR,2025,132512.0,935400.166,10140.09082,0.07652205702125091,92.24771085432941,1.7599872680993862
JFK,2005,101943.0,351144.528,7069.28354,0.0693454532434792,49.6718692938436,-0.859227805342641
JFK,2006,110464.0,459277.824,8079.56502,0.07314206456402086,56.84437502057506,-0.3668206073973062
JFK,2007,126535.0,741199.912,12232.93852,0.0966763229146086,60.59050413669536,0.3164795785151305
JFK,2008,118802.0,626733.944,9950.038120000001,0.08375311964445044,62.98809476319875,0.2004633746685657
JFK,2009,119666.0,503768.092,8416.93852,0.07033692544248157,59.85170151866572,-0.24730064429120613
JFK,2010,112017.0,343221.554,6087.61298,0.054345438460233715,56.38031772512582,-0.7654760512874352
JFK,2011,94404.0,281422.724,4733.67886,0.05014277848396254,59.45116521909557,-0.6698923549558617
JFK,2012,97102.0,182072.488,3461.09862,0.0356439478074602,52.605403078632875,-1.3548958867852976
JFK,2013,111349.0,355681.804,6051.89182,0.05435066161348553,58.772002966834265,-0.6262102526714698
JFK,2014,100550.0,298068.664,5153.74042,0.05125549895574341,57.83540491160399,-0.7419058155651111
JFK,2015,102094.0,332084.104,4916.0786,0.04815247321096244,67.55060913794178,-0.23797140774206216
JFK,2016,97726.0,272567.384,4217.13066,0.0431525966477703,64.63337420045696,-0.5065729533042078
JFK,2017,94419.0,455025.704,5433.289760000001,0.0575444535527807,83.74773371188655,0.8901756859979522
JFK,2018,130663.0,468964.686,6137.8792,0.04697488347887313,76.40500419102415,0.2539464143983147
JFK,2019,127252.0,381868.122,4912.96432,0.038608150127306444,77.72662228493448,0.16541590846304666
