airport,year,arr_flights,weather_adjusted,weather_ct_adjusted,weather_probability,weather_severity,weather_score
FLL,2005,70355.0,192813.446,4111.41772,0.05843817383270557,46.89707033709043,1.0537797589718196
FLL,2006,67604.0,110983.944,2599.77334,0.03845591000532513,42.689853877799976,-0.4160828494132224
FLL,2007,69448.0,150070.96,3142.92756,0.04525583976500403,47.74878107594691,0.30422986029585414
FLL,2008,67179.0,131732.37,3051.0875,0.045417280697837126,43.17554642402094,0.036511584506228545
FLL,2009,62703.0,104566.292,2510.8027,0.04004278423679888,41.64655868818366,-0.3829441939253405
FLL,2010,62373.0,88025.166,2046.61254,0.032812475590399695,43.01017622026297,-0.739657936547192
FLL,2011,64929.0,92844.242,2263.5085400000003,0.03486128756025813,41.0178448012394,-0.7360353104658164
FLL,2012,67179.0,88842.576,2179.0275,0.032436140758272676,40.771663505852956,-0.8983781255437839
FLL,2013,66271.0,122676.96800000001,2978.0601,0.044937606192754,41.19358370235712,-0.11292073754468301
FLL,2014,64109.0,140635.066,3090.7145,0.048210305885289115,45.502444823033635,0.3474846287842733
FLL,2015,79419.0,144981.31,2858.7022,0.035995192586156965,50.715779349104636,-0.07858749218342781
FLL,2016,83289.0,174604.00600000002,3240.47762,0.03890642966057943,53.88218234323125,0.2905166870423734
FLL,2017,90069.0,186073.752,3323.4077,0.03689846340028201,55.98884301796617,0.2963148810774926
FLL,2018,97647.0,193371.298,3547.43502,0.03632917570432271,54.510173381555,0.17197856174010975
FLL,2019,98451.0,199695.642,3595.3389,0.03651906938477009,55.54292586993676,0.2461940158774561
FLL,2020,64456.0,65229.984000000004,1436.63328,0.022288588804766044,45.40475632027681,-1.2339940866652763
FLL,2021,87467.0,190243.432,3328.71984,0.0380568653320681,57.15213089245744,0.4373189858139317
FLL,2022,84235.0,210307.22,3553.7828200000004,0.04218890983557904,59.17841090807006,0.8114357977663005
FLL,2023,89844.0,272406.976,4328.9378400000005,0.048182826232135705,62.926977948937235,1.4032377535803775
FLL,2024,91897.0,256529.924,3936.2270200000003,0.04283303067564774,65.17152661586069,1.2142837529315444
FLL,2025,87622.0,264225.544,4021.0647000000004,0.045891039921480914,65.71034383008062,1.4328515139395968
MCO,2005,118744.0,203128.54,4891.90438,0.041197065788587214,41.52340769996817,-0.3202592227161798
MCO,2006,118916.0,159038.42,3841.4618600000003,0.032303994920784423,41.40049434201593,-0.8682489331211795
MCO,2007,129803.0,232791.756,5081.18182,0.039145334237267244,45.81449045647416,-0.18455752442896675
MCO,2008,130859.0,217168.18600000002,4975.49806,0.03802182547627599,43.64752701762686,-0.38434973275797896
MCO,2009,121719.0,166097.248,3858.4128,0.031699346856283735,43.04807614156785,-0.8050151315519584
MCO,2010,122319.0,143072.498,3466.76366,0.028341988243854185,41.26975820439977,-1.1169978848025055
MCO,2011,124291.0,165034.264,3832.4838600000003,0.030834765670885264,43.06195930072357,-0.8567228125580805
MCO,2012,120159.0,127144.564,3264.59308,0.02716894348321807,38.94652744898914,-1.329284167323487
MCO,2013,113866.0,154949.452,3880.15142,0.03407647076388035,39.933867323146885,-0.8495194785341997
MCO,2014,110409.0,201099.84,4199.8098,0.03803865445751705,47.883082705316795,-0.12628836581211156
MCO,2015,120028.0,191939.854,3878.4580600000004,0.03231294414636585,49.48870170327431,-0.3768648957335911
MCO,2016,125729.0,213749.35,3962.0767800000003,0.031512831407233016,53.948815701648265,-0.15483062095751843
MCO,2017,131998.0,220082.4,4091.3401000000003,0.03099547038591494,53.792252567807786,-0.1957775651258497
MCO,2018,138464.0,263210.226,5067.1354,0.03659532730529235,51.94458115328831,0.032460290311399395
MCO,2019,143129.0,277694.8,4695.277340000001,0.032804514389117516,59.14342857540338,0.23891901333688587
MCO,2020,96049.0,77440.23,1781.40258,0.018546810273922684,43.47149311976409,-1.57874529609058
MCO,2021,132627.0,261464.33800000002,4760.406120000001,0.03589319007441924,54.92479662638531,0.17064065909823017
MCO,2022,146784.0,401624.262,6622.60714,0.04511804515478526,60.64443405894072,1.078438781214427
MCO,2023,164372.0,462833.70200000005,7130.821440000001,0.043382214975786634,64.90608492925607,1.2315552111458725
MCO,2024,159578.0,415212.034,6084.05536,0.0381259030693454,68.2459329232665,1.1147524680373493
MCO,2025,160014.0,479061.66000000003,7187.3766000000005,0.04491717349731899,66.6532013920072,1.4308769982587883
MIA,2005,65762.0,154966.57200000001,3655.87352,0.05559249292904717,42.3883843771488,0.6072025140967803
